categoria;complejo;numero de partido;etapa;dia y horario;pareja
C2;MITRE PADEL;50;8vos;SABADO 14:15 HS;N. ZAMORANO / GAETANO vs ALCARAZ / BRITEZ
C2;MITRE PADEL;51;8vos;SABADO 16:45 HS;ROMAN / GALLEGUILLO vs GREGORIO / PEDROLINI
C2;MITRE PADEL;54;8vos;SABADO 19:15 HS;DUARTE / PRIETO vs VELEZ / COVUCCI
C2;MITRE PADEL;55;8vos;SABADO 16:45 HS;LARREA / ROMERO vs OLIVER / DOBLER
C2;MITRE PADEL;57;8vos;SABADO 18:00 HS;PAEZ / LIGUORI (espera ganador del partido 50)
C2;MITRE PADEL;58;4tos;SABADO 21:45 HS;CARBALLO / DUMJOVIC (espera ganador del partido 51)
C2;MITRE PADEL;59;4tos;SABADO 22:15 HS;PIAGGIO / SZCZYRKA (espera ganador del partido 54)
C2;MITRE PADEL;60;4tos;SABADO 20:45 HS;RUIZ / PAGUELA (espera ganador del partido 55)
C2;MITRE PADEL;61;4tos;DOMINGO 14:30 HS;#57 vs #58
C2;MITRE PADEL;62;Semifinal;DOMINGO 14:30 HS;#59 vs #60
C2;MITRE PADEL;64;Final;DOMINGO 18:00 HS;#61 vs #62
C3;REAL PADEL;50;8vos;SABADO 17:00 HS;SCORZA / S. PEREZ vs QUIÑONEZ / ANGLESE
C3;REAL PADEL;51;8vos;SABADO 18:15 HS;MEDINA / MORAN vs BENZ / GALEANO
C3;REAL PADEL;52;8vos;SABADO 18:15 HS;CARBALLO / RIVEROS vs CONTINO / SANSONE
C3;REAL PADEL;54;8vos;SABADO 15:30 HS;B. GOMEZ / B. ESCOBAR vs GUNTHER / E. RIVAS
C3;REAL PADEL;55;8vos;SABADO 15:30 HS;T. MARTINEZ / SOFIA vs CORONEL / DAQUILA
C3;REAL PADEL;57;8vos;SABADO 21:00 HS;STUBBE / NIEVAS (espera ganador del partido 50)
C3;REAL PADEL;58;4tos;SABADO 22:15 HS;#51 vs #52
C3;REAL PADEL;59;4tos;SABADO 19:00 HS;HERLEIN / E. ZAMORANO (espera ganador del partido 54)
C3;REAL PADEL;60;4tos;SABADO 19:45 HS;SISTERNA / ANICETO (espera ganador del partido 55)
C3;REAL PADEL;61;4tos;DOMINGO 15:00 HS;#57 vs #58
C3;REAL PADEL;62;Semifinal;DOMINGO 15:00 HS;#59 vs #60
C3;REAL PADEL;64;Final;DOMINGO 18:00 HS;#61 vs #62
C4;MITRE PADEL;34;16vos;VIERNES 19:15 HS;LIBERTINI / L. BENITEZ vs F. PEREZ / J. SALAZAR
C4;MITRE PADEL;35;16vos;VIERNES 18:00 HS;TOUCEDA / CASTILLO vs SAUREL / DERBES
C4;MITRE PADEL;36;16vos;VIERNES 19:15 HS;PEREZLINDO / N. VAZQUEZ vs BRAVO / GOROSO
C4;MITRE PADEL;37;16vos;VIERNES 20:45 HS;PRIETO / SUAREZ vs N. MURATORE / DONATI
C4;MITRE PADEL;38;16vos;VIERNES 22:30 HS;F. ROMERO / L. GONZALEZ vs RICCIO / LIBERJEN
C4;MITRE PADEL;39;16vos;NO JUEGA;SALORT / SALORT vs VILLABA / G. MARTINEZ
C4;MITRE PADEL;40;16vos;VIERNES 19:15 HS;SZYLKO / GAREIS vs CONCA / GIL
C4;MITRE PADEL;41;16vos;VIERNES 22:30 HS;H. ELIAS / SCARPATI vs MAYA / ESTRELLA
C4;MITRE PADEL;42;16vos;VIERNES 20:45 HS;REGUEIRA / M. GONZALEZ vs M. FARIAS / J. FARIAS
C4;MITRE PADEL;43;16vos;VIERNES 20:45 HS;T. RIVAROLA / BALDINO vs SIMONETTI / VENDITTI
C4;MITRE PADEL;44;16vos;VIERNES 18:00 HS;G. PRADO / RIVEROS vs DRESSL / G. PEREZ
C4;MITRE PADEL;45;16vos;VIERNES 22:30 HS;J. BRAÑA / DEAK vs SILVA / SANDOVAL
C4;MITRE PADEL;46;16vos;VIERNES 18:00 HS;SORIA / SACARELO vs J. ALVAREZ / L. CARDINALI
C4;MITRE PADEL;47;16vos;VIERNES 18:00 HS;PARMO / ALBERTI vs FURLANI / SANTILLAN
C4;MITRE PADEL;48;16vos;VIERNES 20:45 HS;ITURRIZA / FERREIRA vs A. LOPEZ / CALVANESE
C4;MITRE PADEL;49;16vos;VIERNES 19:15 HS;A. LOPEZ / CALVANESE vs MARIONI / BARNASTHPOL
C4;MITRE PADEL;50;8vos;SABADO 14:15 HS;#34 vs #35
C4;MITRE PADEL;51;8vos;SABADO 14:15 HS;#36 vs #37
C4;MITRE PADEL;52;8vos;SABADO 18:00 HS;#38 vs #39
C4;MITRE PADEL;53;8vos;SABADO 18:00 HS;#40 vs #41
C4;MITRE PADEL;54;8vos;SABADO 15:30 HS;#42 vs #43
C4;MITRE PADEL;55;8vos;SABADO 15:30 HS;#44 vs #45
